  ID,Schenk_Jackson_2002,Reference,location,Latitude,Longitude,Elevation,MaxDiameter,Measurement,Totmass,Sampdepth,Sampmax,Texture,Depth_org_horizon,Broadleaved_trees,Needleleaved_trees,Shrubs,Semi_shrubs,Grasses,Forbs,Succulents,Tree_phenology,Anthropogenic,Wetland,Vegetation,UMD_cover,PET,MAP,Rainfall_season,D50,D95,D50_extrapolated,D95_extrapolated
D15e,YES,Sveshnikova 1968,"Pamirs, Tajikistan",38.15,73.93,3864,Total,mass,0.1,0.5,no,medium,0,0,0,0,1,1,0,0,-999,N,N,open shrubland,9,401,120,winter maximum,0.05,0.34,0.06,0.52
D16,YES,Wallace et al. 1980,"Nevada, USA",36.67,-116.12,-999,Total,mass,-999,0.6,no,coarse,0,0,0,1,1,0,0,0,-999,N,N,open shrubland,9,1413,100,winter maximum,0.13,0.44,0.14,0.62
D17,YES,Montana et al. 1995,"Durango, Mexico",26.67,-103.67,1100,Total,number,-999,0.7,no,fine,0,0,0,1,0,1,0,0,-999,N,N,open shrubland,9,1507,264,summer maximum,0.18,0.6,0.22,1.05
D18a,YES,Shalyt 1952,Kazakhstan,47.82,66.32,-999,Total,mass,1.89,0.9,no,-999,0,0,0,0,1,1,0,0,-999,N,N,open shrubland,-999,1054,200,"non-tropical,",0.13,0.65,0.15,0.99
D18b,YES,Shalyt 1952,Kazakhstan,47.82,66.32,-999,Total,mass,2.82,0.9,no,-999,0,0,0,0,1,0,0,0,-999,N,N,open shrubland,-999,1054,200,"non-tropical,",0.2,0.78,0.3,1.49
D18c,YES,Shalyt 1952,Kazakhstan,47.82,66.32,-999,Total,mass,3.62,0.9,no,-999,0,0,0,0,1,0,0,0,-999,N,N,open shrubland,-999,1054,200,"non-tropical,",0.15,0.72,0.19,1.25
D18d,YES,Shalyt 1952,Kazakhstan,47.82,66.32,-999,Total,mass,2.6,0.9,no,-999,0,0,0,0,1,0,0,0,-999,N,N,open shrubland,-999,1054,200,"non-tropical,",0.14,0.63,0.15,0.91
D19,YES,Fernandez & Caldwell 1975,"Utah, USA",41.08,-113.08,500,Total,length,-999,1.2,no,coarse,0,0,0,1,0,0,0,0,-999,N,N,open shrubland,9,1175,230,"non-tropical,",0.36,0.88,0.37,1.05
D20,YES,Miroshnichenko 1975,"E Karakum, Turkmenistan",38.58,63.18,185,Total,mass,0.61,6,no,coarse,0,0,0,1,0,1,0,0,-999,N,N,open shrubland,9,1269,114,winter maximum,0.78,3.02,0.78,3.02
D22,YES,Kudrjasheva 1974,S Tajikistan,37.57,68.42,300-500,Total,mass,-999,0.6,no,-999,0,0,0,0,0,1,1,0,-999,N,N,Grassland,10,996,158,winter maximum,0.04,0.17,0.04,0.18
D23,YES,Nobel et al. 1991,"California, USA",33.63,-116.4,850,Total,length,-999,0.3,no,medium,0,0,0,0,0,0,0,1,-999,N,N,open shrubland,9,1585,150,winter maximum,0.09,0.23,0.09,0.3
D24,YES,Bowns & West 1976,"SW Utah, USA",37.3,-113.95,1280,Total,mass,2.57,0.4,no,medium,0,0,0,0,1,1,1,0,-999,N,N,open shrubland,9,1387,274,"non-tropical,",0.08,0.34,0.11,0.64
D26,YES,Rodin 1977,central Kazakhstan,47.08,61.15,78,Total,mass,2.75,2,no,-999,0,0,0,0,1,0,1,0,-999,N,N,open shrubland,9,990,120,"non-tropical,",0.22,0.8,0.22,0.83
D27,YES,Hansson et al. 1996,"Inner Mongolia, China",42.97,120.73,350,Total,mass,-999,0.95,no,coarse,0,0,0,0,1,1,0,0,-999,N,N,open shrubland,-999,793,360,summer maximum,0.23,0.8,0.28,1.38
D28a,YES,Rickard & Vaughan 1988,"Washington, USA",46.53,-119.52,380,Total,mass,1.15,0.8,no,medium,0,0,0,1,1,1,1,0,-999,N,N,open shrubland,9,840,160,winter maximum,0.26,0.72,0.39,1.38
D28b,YES,Rickard & Vaughan 1988,"Washington, USA",46.53,-119.52,-999,Total,mass,0.74,0.8,no,medium,0,0,0,0,0,1,1,0,-999,N,N,Grassland,10,840,160,winter maximum,0.06,0.36,0.06,0.43
D29,YES,Schreiber et al. 1995,"Negev Desert, Israel",30.85,34.75,-999,Total,mass,-999,0.6,no,-999,0,0,0,1,1,1,0,0,-999,N,N,open shrubland,9,1600,100,winter maximum,0.11,0.46,0.12,0.73
D30,YES,Zhang Kebin 1989,"Gansu Province, China",38.7,103.17,-999,5,mass,-999,2,no,coarse,0,1,0,0,0,0,0,0,evergreen,N,N,open shrubland,9,2652,125,summer maximum,0.41,0.77,0.41,0.77
D31,YES,Kul'tiasov 1925,"Turkistan, S Kazakhstan",41.18,68.33,-999,Total,mass,1.52,0.75,no,medium,0,0,0,0,0,1,1,0,-999,N,N,Grassland,10,1179,230,winter maximum,0.01,0.13,0.01,0.14
D32a,YES,Groeneveld 1989,"E California, USA",37.42,118.35,-999,Total,length,-999,1.8,no,medium,0,0,0,1,0,1,0,0,-999,N,N,open shrubland,9,1406,144,winter maximum,0.45,1.54,0.55,2.4
D32b,YES,Groeneveld 1989,"E California, USA",37.17,118.28,-999,Total,length,-999,2.7,no,coarse,0,0,0,1,0,0,0,0,-999,N,N,open shrubland,9,1406,144,winter maximum,0.56,2.2,0.58,2.4
D33a,NO,Cline et al. 1977,"S Washington, USA",46.53,-119.52,-999,Total,mass,0.66,1.6,no,medium,0,0,0,0,0,1,0,0,-999,Y,N,Grassland,10,840,160,winter maximum,0.01,0.93,0.02,1.6
D33b,NO,Cline et al. 1977,"S Washington, USA",46.53,-119.52,-999,Total,mass,0.97,1.6,no,medium,0,0,0,1,0,1,0,0,-999,N,N,open shrubland,10,840,160,winter maximum,0.34,1.32,0.41,2.2
D34,NO,Cox et al. 1986,"SE Arizona, USA",31.7,-110.05,-999,Total,mass,3.13,0.91,yes,-999,0,0,0,1,0,0,0,0,-999,N,N,open shrubland,10,1654,343,summer maximum,0.07,0.37,0.07,0.39
D35a,NO,Sturges 1977,"Wyoming, USA",41.45,-107.1,-999,Total,mass,0.22,2.44,yes,medium,0,0,0,1,0,0,0,0,-999,N,N,open shrubland,9,542,530,winter maximum,0.22,0.95,0.22,0.98
D35b,NO,Sturges 1977,"Wyoming, USA",41.45,-107.1,-999,Total,mass,0.26,2.44,yes,medium,0,0,0,1,0,0,0,0,-999,N,N,open shrubland,9,542,530,winter maximum,0.23,0.8,0.23,0.81
D35c,NO,Sturges 1977,"Wyoming, USA",41.45,-107.1,-999,Total,mass,0.45,2.44,yes,medium,0,0,0,1,0,0,0,0,-999,N,N,open shrubland,9,542,530,winter maximum,0.26,0.93,0.26,0.94
