Precipitation,Net_Radiation,Soil_Moisture,Evapotranspiration,Runoff,Time,Drainage,Infiltration
0.08216601,0.6325077475361484,0.0,0.0070910760412445295,0.0,2010-01-20,0.2226240976350287,0.08216601
0.58406645,0.5925698230248793,0.58406645,0.0,0.0,2010-01-21,0.0,0.58406645
0.8164942,0.5526318985136102,0.7921063565747988,0.01647467384358081,0.0,2010-01-22,0.5919796195816204,0.8164942
0.23542672,0.5126939740023411,0.3203401065379968,0.017799168247955487,0.0,2010-01-23,0.6893938017888465,0.23542672
0.6112959,0.4727560494910719,0.48278776322844635,0.010437404115538203,0.0,2010-01-24,0.4384108391940123,0.6112959
2.898679,0.4328181249798029,2.8315233443314773,0.011730953473630795,0.0,2010-01-25,0.538212465423338,2.898679
0.5717294,0.5078676984847198,2.06649302542929,0.033335763851918,0.0,2010-01-26,1.3034239550502693,0.5717294
8.887929,0.5829172719896367,9.80822904114601,0.03268689303026072,0.0,2010-01-27,1.113506091253018,8.887929
3.4645438,0.6579668454945536,10.766503649282505,0.08038019508570467,0.0,2010-01-28,2.425888996777801,3.4645438
0.8721944,0.7330164189994707,9.003243126198104,0.09382115922905394,0.0,2010-01-29,2.541633763855348,0.8721944
0.48964256,0.8080659925043877,7.074097737012536,0.09457929338057271,0.0,2010-01-30,2.3242086558049952,0.48964256
0.49007943,0.8831155660093045,5.412346126614054,0.09162264263685758,0.0,2010-01-31,2.060208397761625,0.49007943
2.548948,0.9581651395142216,6.072284949386979,0.08695266424851933,0.0,2010-02-01,1.802056512978556,2.548948
1.1808196,1.0332147130191385,5.245027561842523,0.0993153550632837,0.0,2010-02-02,1.9087616324811716,1.1808196
0.81501174,1.022478442557305,4.194712530904495,0.09134353057032021,0.0,2010-02-03,1.773983240367708,0.81501174
2.545511,1.0117421720954713,5.072942646233117,0.08082965045625173,0.0,2010-02-04,1.586451234215126,2.545511
2.8065236,1.0010059016336381,6.046881092246504,0.08794605441906374,0.0,2010-02-05,1.7446390995675496,2.8065236
0.054624796,0.9902696311718049,4.101753125025809,0.09498803881300542,0.0,2010-02-06,1.9047647244076897,0.054624796
0.29274994,0.9795333607099714,2.748344604744332,0.07738445647612152,0.0,2010-02-07,1.5687740038053555,0.29274994
0.8813478,0.9687970902481382,2.282906241945158,0.06264958016997468,0.0,2010-02-08,1.2841365826291995,0.8813478
0.8552154,0.9580608197863045,1.911295143437326,0.05646597919461839,0.0,2010-02-09,1.1703605193132134,0.8552154
1.8059541,0.9473245493244711,2.59528522250581,0.05108723714059089,0.0,2010-02-10,1.070876783790925,1.8059541
1.8050231,0.8909083145506674,3.0964562226185084,0.055985466987981805,0.0,2010-02-11,1.2478666328993198,1.8050231
0.008288409,0.8344920797768636,1.6844260235662643,0.057280188354873696,0.0,2010-02-12,1.3630384196973704,0.008288409
0.05404712,0.7780758450030596,0.6937683957144142,0.03939105842960884,0.0,2010-02-13,1.0053136894222412,0.05404712
