time,longitude,latitude,snr_[MJ/m2],tp_[mm],ro_[m],sm_[m3/m3],le_[W/m2]
2014-02-23,15.875,63.625,-1.974897,0.4197626,3.4959263e-05,0.36128682,3.4715640099926124
2014-02-24,15.875,63.625,-1.8734491,0.014248443,3.862241e-05,0.36267018,3.6215134551403696
2014-02-25,15.875,63.625,-1.5590489,0.42769662,3.583283e-05,0.36626035,3.771462900288127
2014-02-26,15.875,63.625,0.34650314,0.9443603,3.360755e-05,0.36861876,3.921412345435884
2014-02-27,15.875,63.625,-0.7534969,1.5464259,3.3616907e-05,0.36882773,4.1459159304698305
2014-02-28,15.875,63.625,0.6959367,0.17939033,3.3132852e-05,0.36719364,4.3704195155037775
2014-03-01,15.875,63.625,0.34252995,2.94299,3.3180007e-05,0.37165153,4.594923100537724
2014-03-02,15.875,63.625,0.33143812,2.6206033,3.314113e-05,0.3732241,4.8194266855716705
2014-03-03,15.875,63.625,-0.12732643,0.50612634,3.2987627e-05,0.36810008,5.0439302706056175
2014-03-04,15.875,63.625,0.24251121,0.15259288,3.295981e-05,0.36758518,5.268433855639564
2014-03-05,15.875,63.625,0.59956545,0.093665004,3.3476954e-05,0.36852035,5.49293744067351
2014-03-06,15.875,63.625,0.3435465,0.07600185,3.3925382e-05,0.36947414,5.717441025707457
2014-03-07,15.875,63.625,0.9764807,3.4538321,3.69136e-05,0.37648684,5.807231904731856
2014-03-08,15.875,63.625,-0.60136276,0.82402146,3.2874683e-05,0.37421128,5.897022783756256
2014-03-09,15.875,63.625,0.554762,0.51746255,3.4489105e-05,0.37239856,5.986813662780656
2014-03-10,15.875,63.625,-0.7115492,0.2780513,3.347863e-05,0.37176976,6.076604541805056
2014-03-11,15.875,63.625,-1.796745,0.3893667,3.338244e-05,0.37100324,6.1663954208294545
2014-03-12,15.875,63.625,1.4395307,0.12677385,3.6527825e-05,0.3712442,6.256186299853854
2014-03-13,15.875,63.625,-1.9596746,0.018172104,3.4480392e-05,0.3712781,6.345977178878254
2014-03-14,15.875,63.625,0.24278142,0.29861808,3.251842e-05,0.37170967,6.435768057902654
2014-03-15,15.875,63.625,-0.20524384,0.27052903,3.2646112e-05,0.36904418,6.824846689899762
2014-03-16,15.875,63.625,1.2411399,0.54766977,3.2882395e-05,0.3662563,7.213925321896871
2014-03-17,15.875,63.625,0.7270191,11.059561,3.320414e-05,0.3734215,7.603003953893979
2014-03-18,15.875,63.625,1.4833115,2.4481785,3.358286e-05,0.37148198,7.992082585891087
2014-03-19,15.875,63.625,0.8904272,0.3349328,3.3755132e-05,0.36401692,8.381161217888195
2014-03-20,15.875,63.625,0.35644156,9.879889,3.398873e-05,0.36934626,8.770239849885304
2014-03-21,15.875,63.625,1.766698,5.465759,3.4899338e-05,0.37108907,9.159318481882412
2014-03-22,15.875,63.625,0.4869849,0.037201587,3.5195273e-05,0.36739615,9.54839711387952
2014-03-23,15.875,63.625,0.35897517,3.3575563,3.535246e-05,0.37297812,9.394501059971473
2014-03-24,15.875,63.625,1.279544,0.047192592,3.501161e-05,0.3705104,9.240605006063426
2014-03-25,15.875,63.625,1.7128747,0.0,3.4864814e-05,0.3705672,9.086708952155377
2014-03-26,15.875,63.625,2.6541128,0.0,3.504144e-05,0.3707985,8.93281289824733
2014-03-27,15.875,63.625,3.3545423,0.0,3.513528e-05,0.36979145,8.778916844339282
2014-03-28,15.875,63.625,3.9175746,0.0,3.535447e-05,0.37135416,8.625020790431233
2014-03-29,15.875,63.625,3.900835,0.0,3.6002988e-05,0.3734632,8.471124736523185
2014-03-30,15.875,63.625,0.41187045,0.30760595,3.4918776e-05,0.3762958,8.317228682615138
2014-03-31,15.875,63.625,3.1324277,0.668738,3.4967037e-05,0.3771966,8.663639202024097
2014-04-01,15.875,63.625,3.8154824,0.0048648687,3.4667864e-05,0.37537286,9.010049721433056
2014-04-02,15.875,63.625,3.3027165,0.00908492,3.4611945e-05,0.37454146,9.356460240842015
2014-04-03,15.875,63.625,1.8638248,0.10092541,3.5059296e-05,0.37495893,9.702870760250974
2014-04-04,15.875,63.625,4.700463,0.0,3.4813755e-05,0.3753543,10.049281279659933
2014-04-05,15.875,63.625,1.2966051,0.23929721,3.5235462e-05,0.3756236,10.395691799068892
2014-04-06,15.875,63.625,2.9716935,1.9891309,3.688487e-05,0.38054875,10.742102318477851
2014-04-07,15.875,63.625,3.0747921,3.727749,3.4842767e-05,0.38979512,11.08851283788681
2014-04-08,15.875,63.625,0.9976549,0.8783141,3.4558125e-05,0.38430268,12.009126237697071
2014-04-09,15.875,63.625,5.671206,0.00093592016,3.454257e-05,0.38028425,12.929739637507332
2014-04-10,15.875,63.625,4.7686768,3.7191617,3.5375055e-05,0.38524514,13.850353037317594
2014-04-11,15.875,63.625,6.1029587,0.5846373,3.5891357e-05,0.38387322,14.770966437127855
2014-04-12,15.875,63.625,4.0419207,2.5386484,3.6066685e-05,0.38577446,15.691579836938118
2014-04-13,15.875,63.625,5.9258504,1.9928627,3.648124e-05,0.38807118,16.61219323674838
2014-04-14,15.875,63.625,5.5214734,0.5488513,3.5903966e-05,0.3862528,17.53280663655864
2014-04-15,15.875,63.625,6.3167605,0.586627,3.4473618e-05,0.38621464,18.4534200363689
2014-04-16,15.875,63.625,5.19801,0.03307237,3.5716028e-05,0.383744,19.539536528841214
2014-04-17,15.875,63.625,4.4547467,0.870021,3.592247e-05,0.38652992,20.625653021313525
2014-04-18,15.875,63.625,6.0710645,0.5074253,3.586949e-05,0.38918146,21.71176951378584
2014-04-19,15.875,63.625,8.8141775,0.00787472,3.7953632e-05,0.38780528,22.797886006258153
2014-04-20,15.875,63.625,6.0043473,0.02430028,3.6560697e-05,0.38753653,23.884002498730464
2014-04-21,15.875,63.625,9.901315,0.06882261,3.766016e-05,0.38700867,24.970118991202778
2014-04-22,15.875,63.625,9.839217,0.0,3.7552945e-05,0.3866946,26.05623548367509
2014-04-23,15.875,63.625,9.977232,0.0,3.729605e-05,0.38499755,27.142351976147403
2014-04-24,15.875,63.625,10.533223,0.0,3.845312e-05,0.38369766,26.234497178207942
2014-04-25,15.875,63.625,10.96639,0.0,3.9146427e-05,0.38315386,25.326642380268485
2014-04-26,15.875,63.625,10.39651,0.0,3.9340674e-05,0.38149232,24.418787582329024
2014-04-27,15.875,63.625,10.153291,0.0,3.981115e-05,0.379822,23.510932784389567
2014-04-28,15.875,63.625,7.8842025,0.2404595,3.982292e-05,0.37914068,22.603077986450106
2014-04-29,15.875,63.625,10.389758,0.28273693,3.9615225e-05,0.3794077,21.695223188510646
2014-04-30,15.875,63.625,7.190899,1.3981761,4.018997e-05,0.37963176,20.78736839057119
2014-05-01,15.875,63.625,10.115629,0.9004341,4.045002e-05,0.3805334,19.879513592631728
2014-05-02,15.875,63.625,9.951959,1.2840543,4.0474373e-05,0.38053954,21.18249234088041
2014-05-03,15.875,63.625,7.1443634,2.5846188,4.058433e-05,0.3825767,22.485471089129092
2014-05-04,15.875,63.625,9.222503,0.024443518,4.0456107e-05,0.3815347,23.788449837377776
2014-05-05,15.875,63.625,9.570642,0.31435856,4.0554958e-05,0.38296244,25.09142858562646
2014-05-06,15.875,63.625,8.729837,0.25596464,4.0390918e-05,0.3854778,26.394407333875144
2014-05-07,15.875,63.625,6.991453,1.6922052,4.0093648e-05,0.39146724,27.697386082123828
2014-05-08,15.875,63.625,7.8902984,1.8382646,4.0370865e-05,0.39592084,29.00036483037251
2014-05-09,15.875,63.625,2.7422454,4.0238266,4.063089e-05,0.39968696,30.30334357862119
2014-05-10,15.875,63.625,5.053101,3.9160476,4.0588624e-05,0.40637165,31.88533604972892
2014-05-11,15.875,63.625,6.995943,2.7756417,4.035188e-05,0.4094544,33.46732852083665
2014-05-12,15.875,63.625,11.153812,2.9024174,4.02122e-05,0.41144377,35.049320991944384
2014-05-13,15.875,63.625,12.2957,2.137776,3.9762348e-05,0.41159874,36.63131346305211
2014-05-14,15.875,63.625,10.525099,0.6034753,3.9201823e-05,0.40782064,38.21330593415984
2014-05-15,15.875,63.625,12.072497,3.7765648,3.9893792e-05,0.409937,39.79529840526757
2014-05-16,15.875,63.625,12.32542,0.31530684,3.8951468e-05,0.40729553,41.3772908763753
2014-05-17,15.875,63.625,11.043418,0.003871381,3.856394e-05,0.4038012,42.95928334748303
2014-05-18,15.875,63.625,14.340099,0.00072045793,3.833221e-05,0.40131345,43.76300472628187
2014-05-19,15.875,63.625,9.528366,2.3218248,3.86277e-05,0.39985752,44.566726105080704
2014-05-20,15.875,63.625,9.129868,10.355574,4.0397375e-05,0.40707153,45.370447483879545
2014-05-21,15.875,63.625,12.028705,0.2977598,3.7683945e-05,0.40542006,46.174168862678385
2014-05-22,15.875,63.625,10.108946,0.124220505,3.759512e-05,0.39349258,46.97789024147722
2014-05-23,15.875,63.625,12.704487,0.94307995,3.769146e-05,0.3913312,47.78161162027606
